continent,location,date,population,new_vaccinations,TotalVaccinated,Vaccine_percentage
Asia,Afghanistan,2020-09-25,40099462,,,
Asia,Afghanistan,2020-09-26,40099462,,,
Asia,Afghanistan,2020-09-27,40099462,,,
Asia,Afghanistan,2020-09-28,40099462,,,
Asia,Afghanistan,2020-09-29,40099462,,,
Asia,Afghanistan,2020-09-30,40099462,,,
Asia,Afghanistan,2020-10-01,40099462,,,
Asia,Afghanistan,2020-10-02,40099462,,,
Asia,Afghanistan,2020-10-03,40099462,,,
Asia,Afghanistan,2020-10-04,40099462,,,
Asia,Afghanistan,2020-10-05,40099462,,,
Asia,Afghanistan,2020-10-06,40099462,,,
Asia,Afghanistan,2020-10-07,40099462,,,
Asia,Afghanistan,2020-10-08,40099462,,,
Asia,Afghanistan,2020-10-09,40099462,,,
Asia,Afghanistan,2020-10-10,40099462,,,
Asia,Afghanistan,2020-10-11,40099462,,,
Asia,Afghanistan,2020-10-12,40099462,,,
Asia,Afghanistan,2020-10-13,40099462,,,
Asia,Afghanistan,2020-10-14,40099462,,,
Asia,Afghanistan,2020-10-15,40099462,,,
Asia,Afghanistan,2020-10-16,40099462,,,
Asia,Afghanistan,2020-10-17,40099462,,,
Asia,Afghanistan,2020-10-18,40099462,,,
Asia,Afghanistan,2020-10-19,40099462,,,
Asia,Afghanistan,2020-10-20,40099462,,,
Asia,Afghanistan,2020-10-21,40099462,,,
Asia,Afghanistan,2020-10-22,40099462,,,
Asia,Afghanistan,2020-10-23,40099462,,,
Asia,Afghanistan,2020-10-24,40099462,,,
Asia,Afghanistan,2020-10-25,40099462,,,
Asia,Afghanistan,2020-10-26,40099462,,,
Asia,Afghanistan,2020-10-27,40099462,,,
Asia,Afghanistan,2020-10-28,40099462,,,
Asia,Afghanistan,2020-10-29,40099462,,,
Asia,Afghanistan,2020-10-30,40099462,,,
Asia,Afghanistan,2020-10-31,40099462,,,
Asia,Afghanistan,2020-11-01,40099462,,,
Asia,Afghanistan,2020-11-02,40099462,,,
Asia,Afghanistan,2020-11-03,40099462,,,
Asia,Afghanistan,2020-11-04,40099462,,,
Asia,Afghanistan,2020-11-05,40099462,,,
Asia,Afghanistan,2020-11-06,40099462,,,
Asia,Afghanistan,2020-11-07,40099462,,,
Asia,Afghanistan,2020-11-08,40099462,,,
Asia,Afghanistan,2020-11-09,40099462,,,
Asia,Afghanistan,2020-11-10,40099462,,,
Asia,Afghanistan,2020-11-11,40099462,,,
Asia,Afghanistan,2020-11-12,40099462,,,
Asia,Afghanistan,2020-11-13,40099462,,,
Asia,Afghanistan,2020-11-14,40099462,,,
Asia,Afghanistan,2020-11-15,40099462,,,
Asia,Afghanistan,2020-11-16,40099462,,,
